"id","year","as_cafe","ac_cafe","p_cafe","mar_temp","aug_temp","mar_prec","aug_prec","dem","alt_d"
68861,2011,287,276,90.0364,20.7815028901734,21.5639691714836,176.959537572254,145.695568400771,1206.4865,0
68861,2012,305,295,236,21.3323699421965,21.7242774566474,144.360308285164,72.718689788054,1206.4865,0
68861,2013,291,231,178.8466,21.9921001926782,21.6836223506744,215.811175337187,316.982658959538,1206.4865,0
68872,2007,67,62,44,21.0237288135593,21.0008474576271,123.262711864407,86.3050847457627,1278.4444,0
68872,2008,61,61,42,20.1177966101695,20.522033898305,223.084745762712,100.661016949153,1278.4444,0
68872,2009,46,43,22.78,20.2661016949152,21.7271186440678,131.432203389831,34.2118644067797,1278.4444,0
68872,2010,49,41,22.0219,22.5271186440678,21.4627118644067,55.228813559322,107.440677966102,1278.4444,0
68872,2011,53,40,17.2523,20.3898305084746,21.3703389830508,84.7881355932203,95.9322033898305,1278.4444,0
68872,2012,112,84,36.3502,20.9677966101695,21.356779661017,61.3813559322034,38.7372881355932,1278.4444,0
68872,2013,104,75,59.409,21.8559322033898,21.5245762711864,149.135593220339,179.474576271186,1278.4444,0
68895,2007,750,750,525,20.6747663551402,20.6535046728972,170.988317757009,142.415887850467,1307.5174,0
68895,2008,774,750,525,19.7507009345794,20.1177570093458,284.644859813084,161.198598130841,1307.5174,0
68895,2009,793,701,467.65,19.9640186915888,21.3978971962617,179.873831775701,50.981308411215,1307.5174,0
68895,2010,754,732,487.9148,22.172429906542,21.1343457943925,86.1004672897196,155.964953271028,1307.5174,0
68895,2011,816,675,405,20.0761682242991,21.0591121495327,90.9018691588785,151.766355140187,1307.5174,0
68895,2012,132,52,52,20.6836448598131,21.063785046729,85.607476635514,55.4415887850467,1307.5174,0
68895,2013,851,668,661.9925,21.5523364485981,21.2450934579439,213.651869158878,244.310747663551,1307.5174,0
73001,2007,7945,6840,6156,18.0850184956843,17.4867447595561,125.4401972873,114.420468557337,1891.16,1
73001,2008,8278,7036,7921.375,17.2520961775586,17.7968557336621,155.094944512947,171.188655980271,1891.16,1
73001,2009,8313,7323,7323,17.7639334155364,18.6530209617756,198.794697903822,74.5647348951911,1891.16,1
73001,2010,8234,7323,9300.21,19.8792848335389,18.0735511713933,35.8797780517879,55.4944512946979,1891.16,1
73001,2011,8798,7750,4256.6079,17.8836621454994,18.2635018495685,113.725647348952,42.5332922318126,1891.16,1
73001,2012,8433,7000,7000,18.1337854500617,18.5268187422935,96.6004932182491,31.0900123304562,1891.16,1
73001,2013,9193,7369,5501.0254,19.0383477188656,18.4040073982737,108.797780517879,62.6319358816276,1891.16,1
73024,2007,2216,2146,2150,21.9719178082192,21.0243150684931,130.383561643836,48.8544520547945,1133.2509,0
73024,2008,1972,1676,1097.625,21.696404109589,21.8227739726027,188.018835616438,82.9880136986301,1133.2509,0
73024,2009,1983,1793,1952,22.0378424657534,22.1340753424657,239.842465753425,61.4006849315069,1133.2509,0
73024,2010,1974,1793,2150,23.4691780821918,21.5481164383561,41.6969178082192,24.4640410958904,1133.2509,0
73024,2011,2109,1907,1042.2092,22.0602739726027,21.6436643835617,158.174657534247,32.541095890411,1133.2509,0
73024,2012,2074,2074,2074,21.6035958904109,21.797602739726,95.722602739726,16.6575342465753,1133.2509,0
73024,2013,2055,1874,1539.0071,22.5700342465753,21.6967465753424,50.2534246575342,41.4914383561644,1133.2509,0
73026,2007,1122,989,922,24.9281094527363,24.4932835820895,96.5995024875622,77.0273631840796,661.8928,0
73026,2008,986,838,911.25,24.157960199005,24.8360696517413,133.338308457711,131.355721393035,661.8928,0
73026,2009,900,787,865.7,24.5703980099503,25.6345771144278,164.542288557214,53.4129353233831,661.8928,0
73026,2010,925,860,946,26.8124378109453,24.9681592039801,28.5845771144279,42.4427860696517,661.8928,0
73026,2011,1069,934,457.456,24.7624378109452,25.2771144278607,125.221393034826,39.0820895522388,661.8928,0
73026,2012,949,637,700.7,25.0293532338309,25.4629353233831,81.4402985074627,26.3606965174129,661.8928,0
73026,2013,914,726,572.0026,25.9753731343284,25.3686567164179,81.8830845771144,51.18407960199,661.8928,0
73043,2007,3271,2925,4103,13.1763537906137,12.6447653429603,136.046931407942,125.337545126354,2726.8993,1
73043,2008,3386,2878,3562,12.2823104693141,12.7915162454873,171.546931407942,192.359205776173,2726.8993,1
73043,2009,3356,2831,2831,12.8126353790614,13.7662454873646,207.243682310469,78.0595667870036,2726.8993,1
73043,2010,3398,2946,2857.6201,14.9691335740072,13.2703971119134,43.4115523465704,65.1750902527076,2726.8993,1
73043,2011,3631,3063,1645.5629,13.0086642599278,13.3528880866426,132.328519855596,50.9747292418773,2726.8993,1
73043,2012,3795,3265,3656.8,13.2592057761733,13.6902527075812,102.559566787004,36.8664259927798,2726.8993,1
73043,2013,4069,3387,2787.0129,14.1712996389891,13.5794223826715,117.478339350181,72.5523465703971,2726.8993,1
73055,2007,323,281,430,26.5379174852652,26.4860510805501,107.064833005894,93.9332023575639,352.627,0
73055,2008,296,252,375,25.758742632613,26.4776031434184,134.159135559921,160.648330058939,352.627,0
73055,2009,294,263,263,26.0721021611002,27.6009823182711,127.726915520629,54.9685658153242,352.627,0
73055,2010,294,294,294,28.5153241650295,26.9330058939096,42.8546168958743,60.1905697445972,352.627,0
73055,2011,330,296,152.8728,26.4732809430255,27.3247544204322,107.581532416503,49.7760314341847,352.627,0
73055,2012,17,12,4.8,26.9147347740668,27.5530451866405,84.0746561886051,34.8153241650295,352.627,0
73055,2013,311,291,206.0009,27.7711198428291,27.3897838899803,84.9351669941061,73,352.627,0
73067,2007,6746,5734,6958.375,22.2004198152813,21.4058774139379,101.354324097397,45.7481108312343,1207.372,0
73067,2008,6746,5734,6958.375,21.7633921074727,22.1209068010075,196.244332493703,78.9328295549958,1207.372,0
73067,2009,7318,6101,4575.75,22.1356003358522,22.6079764903442,225.158690176322,46.3509655751469,1207.372,0
73067,2010,7220,6900,9765,23.884550797649,21.9506297229219,18.2418136020151,13.4366078925273,1207.372,0
73067,2011,7194,5997,3546.3013,22.1179680940386,22.2130982367759,144.491183879093,20.7565071368598,1207.372,0
73067,2012,7628,7523,8051.6001,21.9858102434929,22.3402183039462,78.2208228379513,7.96557514693535,1207.372,0
73067,2013,10073,7950,6383.0293,22.8938706968934,22.135516372796,42.6926952141058,21.5810243492863,1207.372,0
73124,2007,1246,1083,1035,13.1921140939597,12.5179530201343,133.798657718121,135.922818791946,2748.2756,1
73124,2008,1238,1052,900.875,12.2906040268456,12.7394295302013,162.01677852349,176.746644295302,2748.2756,1
73124,2009,1235,1157,867.75,12.8746644295302,13.7090604026845,216.751677852349,85.760067114094,2748.2756,1
73124,2010,1255,1200,950,14.9295302013423,13.1854026845638,37.8724832214765,59.501677852349,2748.2756,1
73124,2011,1332,1248,672.5243,12.9498322147651,13.313422818792,111.917785234899,38.75,2748.2756,1
73124,2012,1165,1000,1000,13.2630872483222,13.6442953020134,101.011744966443,32.9446308724832,2748.2756,1
73124,2013,1321,1101,920.0043,14.0978187919463,13.4781879194631,121.775167785235,64.9010067114094,2748.2756,1
73152,2007,1926,1705,2489,14.2950738916256,14.020197044335,135.793103448276,129.197044334975,2544.6453,1
73152,2008,1895,1611,2278,13.4049261083744,13.8704433497537,171.733990147783,193.945812807882,2544.6453,1
73152,2009,1944,1668,1834.8,13.8857142857142,15.1261083743842,183.783251231527,70.7142857142857,2544.6453,1
73152,2010,1854,1712,1883.2,16.1374384236453,14.6330049261084,58.3349753694581,72.1871921182266,2544.6453,1
73152,2011,1981,1700,969.551,14.235960591133,14.7753694581281,146.655172413793,53.3448275862069,2544.6453,1
73152,2012,960,30,18,14.5886699507389,15.1418719211823,89.3349753694581,40.256157635468,2544.6453,1
73152,2013,2096,1747,1231.0057,15.4216748768473,14.9536945812808,105.689655172414,76.0394088669951,2544.6453,1
73168,2007,6971,6173,7654,18.5956204379562,17.8280616382806,117.64598540146,86.5969180859692,1736.1899,1
73168,2008,6859,5830,5674.375,17.9582725060827,18.3725466342254,178.646796431468,119.910381184104,1736.1899,1
73168,2009,7089,6246,5309.1001,18.4229927007299,19.040105433901,222.73398215734,63.0961070559611,1736.1899,1
73168,2010,7063,6100,6215,20.3073803730738,18.4224655312246,21.7708840227088,26.2737226277372,1736.1899,1
73168,2011,7547,6650,3630.585,18.3995944849959,18.6417680454177,102.595296025953,22.043795620438,1736.1899,1
73168,2012,7547,6650,3630.585,18.4628548256285,18.8691403081914,90.8661800486618,16.5579886455799,1736.1899,1
73168,2013,8012,6436,4944.0229,19.3403081914031,18.6480535279806,70.6512570965126,34.7879156528792,1736.1899,1
73226,2007,3151,2718,3745,23.7732441471572,22.9342809364549,82.2023411371238,51.8127090301003,896.1376,0
73226,2008,2396,2037,2060.625,23.3055183946489,23.638127090301,89.5903010033445,78.7240802675585,896.1376,0
73226,2009,2244,2022,2224.2,23.6882943143813,23.992474916388,145.06856187291,51.5250836120401,896.1376,0
73226,2010,2454,2035,2156,25.4128762541806,23.383110367893,29.2742474916388,30.6421404682274,896.1376,0
73226,2011,2623,2363,1175.319,23.7031772575251,23.5071906354515,112.598662207358,29.4414715719064,896.1376,0
73226,2012,421,220,132,23.4897993311037,23.6834448160535,78.1655518394649,22.7943143812709,896.1376,0
73226,2013,2145,1896,1468.0068,24.5386287625418,23.6494983277592,50.7725752508361,40.8244147157191,896.1376,0
73236,2007,3250,2791,2233,20.3158376963351,19.3647905759162,133.742146596859,64.6832460732984,1482.4408,0
73236,2008,3242,2756,2133.125,19.9503926701571,20.1043193717277,148.629581151832,96.2486910994764,1482.4408,0
73236,2009,3333,2836,3119.6001,20.3257853403142,20.4412303664922,220.875654450262,68.7473821989529,1482.4408,0
73236,2010,3298,3243,3300,21.8221204188482,19.876832460733,50.3756544502618,36.2565445026178,1482.4408,0
73236,2011,3500,2978,1648.4692,20.3260471204188,19.9229057591623,160.930628272251,35.6780104712042,1482.4408,0
73236,2012,3538,3,2.912,19.9390052356021,20.126832460733,101.670157068063,25.2539267015707,1482.4408,0
73236,2013,3807,3261,2486.0115,20.9365183246073,20.0509162303665,59.184554973822,53.0405759162304,1482.4408,0
73270,2007,1492,1390,1905,23.8064516129032,23.7539170506913,150.133640552995,134.271889400922,820.3288,0
73270,2008,1256,1068,1519,22.9953917050692,23.6447004608295,187.170506912442,222.47465437788,820.3288,0
73270,2009,1278,994,1093.4,23.3470046082949,24.8746543778802,176.552995391705,75.5483870967742,820.3288,0
73270,2010,1289,706,847.2,25.7608294930876,24.2506912442396,64.073732718894,83.7142857142857,820.3288,0
73270,2011,1377,1071,577.778,23.7668202764977,24.5967741935484,112.47465437788,65.4470046082949,820.3288,0
73270,2012,600,0,0,24.2152073732719,24.8723502304148,106.981566820276,46.6774193548387,820.3288,0
73270,2013,1414,1229,1004.0046,25.0364055299539,24.6751152073733,115.009216589862,95.2027649769585,820.3288,0
73283,2007,7437,6774,10375,20.651171875,20.601171875,162.609375,152.44140625,1384.7004,0
73283,2008,6997,5947,9150,19.810546875,20.3671875,201.25,241.9140625,1384.7004,0
73283,2009,7012,5787,6944.3999,20.1953125,21.71640625,188.35546875,81.984375,1384.7004,0
73283,2010,7014,6500,4550,22.57734375,21.1515625,75.296875,92.546875,1384.7004,0
73283,2011,7548,6229,3363.7839,20.646875,21.43046875,135.7734375,69.3125,1384.7004,0
73283,2012,6766,5000,5250,21.090625,21.7609375,107.36328125,51.3125,1384.7004,0
73283,2013,6717,5535,4435.0205,21.878125,21.526171875,120.20703125,99.6328125,1384.7004,0
73347,2007,1505,1357,1942,13.8041994750656,13.5278215223097,160.225721784777,159.96062992126,2675.8021,1
73347,2008,1500,1275,1594.625,12.9062992125984,13.3456692913386,201.236220472441,232.404199475066,2675.8021,1
73347,2009,1549,1375,1237.5,13.4049868766405,14.6388451443569,206.028871391076,85.6272965879265,2675.8021,1
73347,2010,1491,1400,1350,15.6356955380577,14.1629921259843,72.0944881889764,87.8267716535433,2675.8021,1
73347,2011,1594,1415,799.2402,13.761154855643,14.2929133858268,130.653543307087,63.98687664042,2675.8021,1
73347,2012,1843,1663,1752.2,14.1249343832021,14.6724409448819,102.50656167979,49.5406824146982,2675.8021,1
73347,2013,2026,1706,1457.0067,14.9322834645669,14.4706036745407,125.049868766404,90.2047244094488,2675.8021,1
