"id","year","as_cafe","ac_cafe","p_cafe"
15480,2007,45,39,39
15480,2008,8,5,5
15480,2009,10,10,10
15480,2010,10,10,10
15480,2011,14,10,7
15480,2012,100,100,100
15480,2013,71,27,17.4553
15507,2007,134,120,90
15507,2008,134,134,100.5
15507,2009,40,30,24
15507,2010,100,50,50
15507,2011,103,40,32
15507,2012,120,0,0
15507,2013,193,157,100.4818
15514,2007,175,175,140
15514,2008,175,175,140
15514,2009,175,171,136.8
15514,2010,195,176,140.8
15514,2011,188,111,77.7844
15514,2012,239,199,159.2
15514,2013,272,220,140.9741
15531,2007,385,360,360
15531,2008,400,350,350
15531,2009,460,400,200
15531,2010,450,400,200
15531,2011,450,369,184.5
15531,2012,509,418,505.78
15531,2013,399,328,209.7777
15533,2007,170,150,85
15533,2008,192,180,67
15533,2009,205,180,90
15533,2010,235,140,70
15533,2011,213,140,90
15533,2012,210,205,102.5
15533,2013,25,24,15.1894
15550,2007,190,85,106
15550,2008,198,180,127
15550,2009,232,175,70
15550,2010,291,230,230
15550,2011,213,140,110
15550,2012,191,170,85
15550,2013,104,91,58.4853
15580,2007,55,34,32
15580,2008,31,25,22
15580,2009,33,23,16.1
15580,2010,35,25,18.75
15580,2011,35,23,18.4
15580,2012,91,32,25.6
15580,2013,125,72,46.0163
15660,2007,130,127,119
15660,2008,155,144,133.92
15660,2009,156,140,130.2
15660,2010,174,16,14.415
15660,2011,168,11,7.9635
15660,2012,183,97,87.3
15660,2013,199,155,99.144
15664,2007,680,650,650
15664,2008,615,550,605
15664,2009,650,590,649
15664,2010,720,570,598.5
15664,2011,740,570,456
15664,2012,658,404,404
15664,2013,725,551,352.9281
15681,2007,220,200,120
15681,2008,130,130,78
15681,2009,190,130,104
15681,2010,135,100,60
15681,2011,135,92,55.2
15681,2012,185,40,25
15681,2013,254,186,89.1826
15686,2007,600,600,360
15686,2008,550,550,330
15686,2009,492,454,292.46
15686,2010,594,473,293.26
15686,2011,75,35,36
15686,2012,93,0,0
15686,2013,542,457,292.6313
15690,2007,10,5,5
15690,2008,16,15,15
15690,2009,10,5,5
15690,2010,8,8,7.2
15690,2011,8,6,3.9776
15690,2012,8,6,4.5
15690,2013,3,2,1.2938
15761,2007,39,33,16.5
15761,2008,39,34,17
15761,2009,36,36,18
15761,2010,37,36,18.25
15761,2011,36,25,10.0821
15761,2012,36,36,18.25
15761,2013,43,42,16.7264
15816,2007,750,700,700
15816,2008,678,580,580
15816,2009,660,640,640
15816,2010,670,640,640
15816,2011,686,656,555
15816,2012,700,680,544
15816,2013,669,521,317.1179
15897,2007,919,854,640
15897,2008,916,916,870
15897,2009,928,879,571.35
15897,2010,983,898,583.7
15897,2011,983,827,520
15897,2012,966,813,511.1971
15897,2013,1049,843,539.3616
17001,2007,9268,6424,10848
17001,2008,8536,6379,9706
17001,2009,8084,7230,10411
17001,2010,7616,6780,12713
17001,2011,7592,6482,12121.3398
17001,2012,7592,6482,6482
17001,2013,7147,5398,5262.127
17013,2007,4626,4173,4063
17013,2008,4604,4085,3458
17013,2009,4624,4110,4110
17013,2010,4615,3800,3800
17013,2011,4584,3939,3939
17013,2012,4603,265,265
17013,2013,4654,3572,2784.2004
17042,2007,7125,5485,7131
17042,2008,6967,4985,5982
17042,2009,6714,4785,6359
17042,2010,6838,6150,7995
17042,2011,6781,5254,5910.3789
17042,2012,3256,2605,781.5
17042,2013,6612,5098,4970.3013
17050,2007,2597,2222,2254
17050,2008,2409,2154,2040
17050,2009,2306,2086,1825
17050,2010,2291,1999,1999.4301
17050,2011,2269,1891,1512.4561
17050,2012,2269,1891,1890.5699
17050,2013,1954,1555,1515.9171
17088,2007,3734,3196,3835
17088,2008,3754,3225,4656
17088,2009,3507,3464,3308.1201
17088,2010,3612,3246,3895.2
17088,2011,3329,2453,2453.4399
17088,2012,6785,3000,3000
17088,2013,3417,2505,2442.4404
17174,2007,5632,5631,9203
17174,2008,5177,4477,7263
17174,2009,5052,4500,7200
17174,2010,4957,4229,6343.875
17174,2011,4906,4022,5631.1782
17174,2012,4906,4022,4022.27
17174,2013,4602,3235,3154.0864
17272,2007,2787,2604,3162
17272,2008,2735,2132,2959
17272,2009,2687,2400,3120
17272,2010,2585,2265,5098
17272,2011,2524,2343,2025.4
17272,2012,2524,2343,2343
17272,2013,2771,2182,2126.7783
17388,2007,1321,1219,1257
17388,2008,1217,993,860
17388,2009,1193,1090,981
17388,2010,1191,991,940.3
17388,2011,1133,942,847.521
17388,2012,1133,942,941.69
17388,2013,1106,863,841.4927
17433,2007,3984,3731,3743
17433,2008,4032,3705,3577
17433,2009,3905,1750,1575
17433,2010,3966,3686,4165.1802
17433,2011,3918,3218,4022.5
17433,2012,3930,3133,3133
17433,2013,3992,3269,3320.1663
17442,2007,859,699,745
17442,2008,810,808,781
17442,2009,741,600,540
17442,2010,720,694,902.2
17442,2011,699,649,726.992
17442,2012,646,594,594
17442,2013,602,535,521.307
17444,2007,4621,4178,4471
17444,2008,4451,4247,4528
17444,2009,4390,4210,4210
17444,2010,4380,3890,3890
17444,2011,4283,3915,3131.8799
17444,2012,3852,3056,3056
17444,2013,3685,2986,2425.6592
17446,2007,210,205,148
17446,2008,216,209,150
17446,2009,221,210,210
17446,2010,218,192,203.52
17446,2011,234,202,181.8
17446,2012,65,0,0
17446,2013,219,174,169.2422
17486,2007,4332,4000,4326
17486,2008,4332,3217,4612
17486,2009,4159,3949,3949
17486,2010,4149,3664,7170.5
17486,2011,3796,2515,3269.5
17486,2012,4110,0,0
17486,2013,3868,2987,2912.4385
17513,2007,4010,4000,4182
17513,2008,4064,3583,3879
17513,2009,4065,3600,3096
17513,2010,4100,3300,3630
17513,2011,4059,3419,3760.8999
17513,2012,1541,1025,1127.5
17513,2013,4094,3070,2993.0237
17524,2007,4777,4400,6160
17524,2008,4499,4474,5596
17524,2009,4474,4474,5520
17524,2010,4281,3642,8376.5996
17524,2011,4235,2116,4231.5815
17524,2012,4239,2118,2118
17524,2013,4008,2727,2658.1658
17541,2007,5931,5900,5908
17541,2008,5900,5900,5984
17541,2009,5775,5350,5900
17541,2010,5731,5346,4651.1938
17541,2011,5753,4933,3699.75
17541,2012,5753,3000,3000
17541,2013,4909,4235,4128.438
17614,2007,3781,3695,3111
17614,2008,3757,3757,3151
17614,2009,3757,3757,3151
17614,2010,3522,3111,4262.0698
17614,2011,3504,3244,3892.8
17614,2012,3504,3244,3892.8
17614,2013,3438,2900,2827.3982
17616,2007,3772,2750,3575
17616,2008,3430,2895,3474
17616,2009,3323,3040,3648
17616,2010,3110,2840,2848
17616,2011,3214,2314,3181.75
17616,2012,3118,2800,1150
17616,2013,3188,2333,2653.3838
17653,2007,3064,2900,2716
17653,2008,3066,2880,2596
17653,2009,2972,2700,2430
17653,2010,3017,2569,2235.3433
17653,2011,2883,2363,2528.6133
17653,2012,2679,2279,2279
17653,2013,2610,2040,2155.0098
17662,2007,4628,4500,4153
17662,2008,4576,4576,4206
17662,2009,4355,3900,3510
17662,2010,3887,3573,3573
17662,2011,4466,4104,4104
17662,2012,4415,4090,4090.3
17662,2013,4298,3739,3645.1035
17665,2007,2264,2050,2253
17665,2008,2222,1920,2688
17665,2009,2107,1920,2503
17665,2010,1954,1954,2197.9014
17665,2011,2059,1908,2156.1531
17665,2012,2129,1689,1689
17665,2013,2054,1414,1435.547
17777,2007,2021,1920,1938
17777,2008,1952,1952,1963
17777,2009,1952,1952,1963
17777,2010,1934,1719,2578.5
17777,2011,1897,1740,2393.1875
17777,2012,1810,1428,1570.613
17777,2013,1860,1511,1693.6834
17867,2007,425,248,343
17867,2008,274,227,336
17867,2009,266,263,395
17867,2010,250,230,184
17867,2011,256,246,196.976
17867,2012,256,246,246.22
17867,2013,143,102,80.2463
17873,2007,1788,1593,2508
17873,2008,1746,1223,1553
17873,2009,1724,853,597.1
17873,2010,1719,1569,1255.488
17873,2011,1735,1585,2218.9441
17873,2012,2015,1015,1015
17873,2013,1698,1350,1535.5775
17877,2007,746,670,782
17877,2008,894,894,886
17877,2009,890,890,1157
17877,2010,890,800,1049.6
17877,2011,643,534,667.825
17877,2012,970,940,940
17877,2013,630,485,382.4606
18001,2007,681,542,488
18001,2008,660,645,581
